"Index","strategy"
2003-01-02,0
2003-01-03,0
2003-01-06,0
2003-01-07,0
2003-01-08,0
2003-01-09,0
2003-01-10,0
2003-01-13,0
2003-01-14,0
2003-01-15,0
2003-01-16,0
2003-01-17,0
2003-01-21,0
2003-01-22,0
2003-01-23,0
2003-01-24,0
2003-01-27,0
2003-01-28,0
2003-01-29,0
2003-01-30,0
2003-01-31,0
2003-02-03,0
2003-02-04,0
2003-02-05,0
2003-02-06,0
2003-02-07,0.000304503693580482
2003-02-10,-0.000698851075870865
2003-02-11,-0.000461853718824567
2003-02-12,-0.00013842856789692
2003-02-13,0.000192152884837871
2003-02-14,-0.000255881775671041
2003-02-18,-0.000122801661675997
2003-02-19,0.000351606832412754
2003-02-20,0.000687558910723807
2003-02-21,0.000246202263738615
2003-02-24,0.000663473747291921
2003-02-25,0.000946671290362078
2003-02-26,0.00141716641671841
2003-02-27,0.00179126202809332
2003-02-28,0.00266647282862453
2003-03-03,0.00272980521798383
2003-03-04,0.0020615305412075
2003-03-05,0.00267560697141067
2003-03-06,0.0016165152057952
2003-03-07,0.00215188242181208
2003-03-10,0.000872976586671292
2003-03-11,-0.000245613184544968
2003-03-12,-0.00211212417584228
2003-03-13,-0.00143073852498277
2003-03-14,-0.00147744070705014
2003-03-17,0.000640731489964574
2003-03-18,0.0022804176336837
2003-03-19,0.00204324047800264
2003-03-20,0.00514300049005634
2003-03-21,0.00953288385453677
2003-03-24,-0.00347329322621615
2003-03-25,0.00222778474742258
2003-03-26,0.000821415616237609
2003-03-27,-0.000524121226114782
2003-03-28,-0.000922242922196115
2003-03-31,-0.0115471431194737
2003-04-01,-0.00150969127180223
2003-04-02,0.00962573862555693
2003-04-03,0.00602503481347449
2003-04-04,0.0111196735548462
2003-04-07,0.013942144317403
2003-04-08,0.0100817458217817
2003-04-09,0.00464740151989718
2003-04-10,0.00792019040716374
2003-04-11,0.00723845046131921
2003-04-14,0.0174439353357934
2003-04-15,0.0234521720015084
2003-04-16,0.0181615180963679
2003-04-17,0.0303990493131827
2003-04-21,0.0302841086665846
2003-04-22,0.0415954956429685
2003-04-23,0.043214015102828
2003-04-24,0.0333943499224376
2003-04-25,0.0232626333612937
2003-04-28,0.0340362754199364
2003-04-29,0.0386284719830692
2003-04-30,0.0407769960011855
2003-05-01,0.0406353175043956
2003-05-02,0.0491462762950501
2003-05-05,0.0511359570857721
2003-05-06,0.0607771557583441
2003-05-07,0.0583124763860359
2003-05-08,0.0514582671899493
2003-05-09,0.0640899019100964
2003-05-12,0.0770009448890729
2003-05-13,0.0739499025166739
2003-05-14,0.0717221034104925
2003-05-15,0.0756770769341586
2003-05-16,0.0792990447256037
2003-05-19,0.057178453655244
2003-05-20,0.0635864567376727
2003-05-21,0.0668199855844593
2003-05-22,0.0769626684817584
2003-05-23,0.0850273226235745
2003-05-27,0.0955727634949277
2003-05-28,0.0915748611555396
2003-05-29,0.0912719871441852
2003-05-30,0.104578966561083
2003-06-02,0.110365908554562
2003-06-03,0.113423203749182
2003-06-04,0.132518384628438
2003-06-05,0.135430123033177
2003-06-06,0.135455712362342
2003-06-09,0.127489004703419
2003-06-10,0.13787204660451
2003-06-11,0.154270743567942
2003-06-12,0.155862524542788
2003-06-13,0.146431356329759
2003-06-16,0.165303138352824
2003-06-17,0.16565736255627
2003-06-18,0.160354037640974
2003-06-19,0.150357560473553
2003-06-20,0.151505389683589
2003-06-23,0.132827186467242
2003-06-24,0.131772876877372
2003-06-25,0.127902180746557
2003-06-26,0.13474099898023
2003-06-27,0.127136245149797
2003-06-30,0.126366672214587
2003-07-01,0.134030656214699
2003-07-02,0.14975459412943
2003-07-03,0.144462619599175
2003-07-07,0.16260640651569
2003-07-08,0.164734366487145
2003-07-09,0.158390185114736
2003-07-10,0.143255636131173
2003-07-11,0.151658267542712
2003-07-14,0.162872401716737
2003-07-15,0.157061178013042
2003-07-16,0.154948816431801
2003-07-17,0.142350623354505
2003-07-18,0.14931536969081
2003-07-21,0.142076397148102
2003-07-22,0.147280467227191
2003-07-23,0.144582251309794
2003-07-24,0.145793794149086
2003-07-25,0.154512009334152
2003-07-28,0.153114559547379
2003-07-29,0.152755859664751
2003-07-30,0.147491793215416
2003-07-31,0.149842353550225
2003-08-01,0.144915564532789
2003-08-04,0.141840132002731
2003-08-05,0.132082699713053
2003-08-06,0.132449347662841
2003-08-07,0.136479550814183
2003-08-08,0.135644203761171
2003-08-11,0.138591423217123
2003-08-12,0.141347253690026
2003-08-13,0.143492962736576
2003-08-14,0.150539940423613
2003-08-15,0.150559066617614
2003-08-18,0.155053285186643
2003-08-19,0.154893951066752
2003-08-20,0.156844018984345
2003-08-21,0.162917742495624
2003-08-22,0.157790079615064
2003-08-25,0.153471832665453
2003-08-26,0.153838811474453
2003-08-27,0.155547020373016
2003-08-28,0.160656190341735
2003-08-29,0.165934527537535
2003-09-02,0.178673004320568
2003-09-03,0.181553239623624
2003-09-04,0.184971488277951
2003-09-05,0.18190930546143
2003-09-08,0.191656211704596
2003-09-09,0.181134873582251
2003-09-10,0.169721156834624
2003-09-11,0.177191952101349
2003-09-12,0.18022595354906
2003-09-15,0.177484491869082
2003-09-16,0.189195870330733
2003-09-17,0.188159830281017
2003-09-18,0.199380741712162
2003-09-19,0.194741392480221
2003-09-22,0.182222801206957
2003-09-23,0.185438159552052
2003-09-24,0.176731083965363
2003-09-25,0.171569785394859
2003-09-26,0.169878214079911
2003-09-29,0.175073949989614
2003-09-30,0.172288086874665
2003-10-01,0.18889607309939
2003-10-02,0.194568036812989
